STATE,AREA_KM2
Sarawak,124450
Sabah,76115
Pahang,35964
Perak,21037
Johor,19218
Kelantan,14922
Terengganu,12955
Kedah,9584
Selangor,8104
Negeri Sembilan,6685
Melaka,1663
Pulau Pinang,1048
Perlis,821
Kuala Lumpur,243.65
Wilayah Persekutuan Labuan,92
Putrajaya,46
